# AOA CD
7.384   0.01089
7.793   0.01254
8.120   0.01254
8.610   0.01419
9.101   0.01914
9.591   0.02574
10.33   0.02574
10.86   0.03069
11.55   0.04059
12.04   0.05050
12.62   0.06535
13.19   0.06865
13.84   0.08020
14.41   0.08680
15.15   0.1000
15.84   0.1083
16.50   0.1198
17.19   0.1462
17.23   0.1710
17.97   0.1726
17.93   0.2040
18.79   0.2122
18.71   0.2370
19.40   0.2436
20.01   0.2799
20.22   0.3096
20.67   0.3013
21.40   0.3079
20.87   0.3838
21.57   0.5373
22.22   0.5736
22.87   0.6165
23.53   0.6297
24.14   0.6264
24.67   0.5967
25.12   0.6000
25.61   0.6000
25.94   0.5868
26.31   0.5736
26.51   0.5818
26.88   0.5752
27.00   0.5587
27.29   0.5505
27.29   0.5274
27.13   0.5076
26.80   0.4977
26.68   0.5059
26.31   0.4927
25.98   0.4713
25.57   0.4548
25.25   0.4515
24.80   0.4267
24.26   0.4020
23.73   0.3855
23.24   0.3838
22.63   0.3574
21.89   0.3310
19.20   0.2502
15.93   0.07525
15.19   0.06040
14.41   0.06370
13.84   0.05875
13.27   0.05380
12.57   0.04719
11.96   0.04059
11.27   0.03069
9.959   0.02244
9.387   0.01584
8.856   0.01254
8.365   0.007591
7.425   0.005941
